code,description,detailedDescription
B1000, FalhaECU, Falha na ECU
B3040, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3042, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3043, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3045, SinalSistAlarme, Sinal do sistema de alarme
B3048, SinalSistAlarme, Sinal do sistema de alarme
B3050, CircImobilizador, Circuito do imobilizador
B3053, CircImobilizador, Circuito do imobilizador
B3055, SinalTransponder, Sinal do transponder
B3056, ChaveNaoProgr, Chave não programada
B3057, ImobNaoProgramad, Imobilizador não programado
B3059, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3060, ChaveNaoProgr, Chave não programada
B3061, ChaveIncorreta, Chave Incorreta
B3077, ChaveIncorreta, Chave Incorreta
C0035, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0040, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0045, SensVelocRodaTE, Sensor de velocidade da roda traseira esquerda
C0050, SensVelocRodaTD, Sensor de velocidade da roda traseira direita
C0060, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0065, ValvulaEntradaDE, Válvula de entrada dianteira esquerda
C0070, ValvulaSaidaDD, Válvula de saída dianteira direita
C0075, ValvulaEntradaDD, Válvula de entrada dianteira direita
C0080, ValvulaSaidaTE, Válvula de saída traseira esquerda
C0085, ValvulaEntradaTE, Válvula de entrada traseira esquerda
C0090, ValvulaSaidaTD, Válvula de saída traseira direita
C0095, ValvulaEntradaTD, Válvula de entrada traseira direita
C0110, BombaHidraulABS, Bomba hidraulica ABS
C0121, ReleValvula, Relé da válvula
C0141, ValvContrTracao, Válvula de tração
C0146, ValvContrTracao, Válvula de controle de tração
C0151, ValvContrTracao, Válvula de controle de tração
C0156, ValvContrTracao, Válvula de controle de tração
C0161, InterruptorFreio, Interruptor do freio
C0221, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0222, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0223, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0225, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0226, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0227, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0229, SensorVelocDiant, Sensor de velocidade dianteiro
C0235, SensorVelocTras, Sensor de velociadde traseiro
C0236, SinalRotacaoMtr, Sinal de rotação do motor
C0237, SensorVelocTras, Sensor de velociadde traseiro
C0238, SensVelocidRoda, Sensor de velocidade da roda
C0241, CorteIgnInjecao, Corte da ignição/injeção
C0242, ValvulaSaidaDD, Válvula de saída dianteira direita
C0243, ValvulaEntradaDD, Válvula de entrada dianteira direita
C0244, SensorPosicBorb, Sensor de posição da borboleta
C0245, SensVelocidRoda, Sensor de velocidade da roda
C0246, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0247, ValvulaEntradaDE, Válvula de entrada dianteira esquerda
C0248, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0251, ValvulaTraseira, Válvula traseira
C0252, ValvulaTraseira, Válvula traseira
C0253, ValvulaTraseira, Válvula traseira
C0254, ValvulaTraseira, Válvula traseira
C0265, ReleAlimentABS, Relé de alimentação do ABS
C0266, ReleAlimentABS, Relé de alimentação do ABS
C0267, MotorBomba, Motor da bomba
C0268, MotorBomba, Motor da bomba
C0269, SensorPressao, Sensor de pressão
C0271, FalhaMemoriaRAM, Falha de memória RAM
C0272, FalhaMemoriaROM, Falha de memória ROM
C0273, ECU, ABS ECU do ABS
C0274, ValvulaEntrada, Válvula de entrada
